       Day     Sector   Duration      Start        End        Mix    Formule
01/01/2024          1         14       8:30       8:44       mix1          5
01/01/2024          2          8       8:44       8:52       null          0
01/01/2024          3         25       8:52       9:17       mix2          7
01/01/2024          5          7       9:17       9:24       mix1          3
01/01/2024          6         10       9:24       9:34       null          0
02/01/2024          1         14       8:30       8:44       mix1          5
02/01/2024          2          8       8:44       8:52       null          0
02/01/2024          4         25       8:52       9:17       null          0
02/01/2024          5          7       9:17       9:24       mix1          3
03/01/2024          1         14       8:30       8:44       mix1          5
03/01/2024          2          8       8:44       8:52       null          0
03/01/2024          3         25       8:52       9:17       mix2          7
03/01/2024          5          7       9:17       9:24       mix1          3
04/01/2024          1         14       8:30       8:44       mix1          5
04/01/2024          2          8       8:44       8:52       null          0
04/01/2024          4         25       8:52       9:17       null          0
04/01/2024          5          7       9:17       9:24       mix1          3
04/01/2024          6         10       9:24       9:34       null          0
05/01/2024          1         14       8:30       8:44       mix1          5
05/01/2024          2          8       8:44       8:52       null          0
05/01/2024          3         25       8:52       9:17       mix2          7
05/01/2024          5          7       9:17       9:24       mix1          3
06/01/2024          1         14       8:30       8:44       mix1          5
06/01/2024          2          8       8:44       8:52       null          0
06/01/2024          4         25       8:52       9:17       null          0
06/01/2024          5          7       9:17       9:24       mix1          3
07/01/2024          1         14       8:30       8:44       mix1          5
07/01/2024          2          8       8:44       8:52       null          0
07/01/2024          3         25       8:52       9:17       mix2          7
07/01/2024          5          7       9:17       9:24       mix1          3
07/01/2024          6         10       9:24       9:34       null          0
08/01/2024          1         14       8:30       8:44       mix1          5
08/01/2024          2          8       8:44       8:52       null          0
08/01/2024          4         25       8:52       9:17       null          0
08/01/2024          5          7       9:17       9:24       mix1          3
09/01/2024          1         14       8:30       8:44       mix1          5
09/01/2024          2          8       8:44       8:52       null          0
09/01/2024          3         25       8:52       9:17       mix2          7
09/01/2024          5          7       9:17       9:24       mix1          3
10/01/2024          1         14       8:30       8:44       mix1          5
10/01/2024          2          8       8:44       8:52       null          0
10/01/2024          4         25       8:52       9:17       null          0
10/01/2024          5          7       9:17       9:24       mix1          3
10/01/2024          6         10       9:24       9:34       null          0
11/01/2024          1         14       8:30       8:44       mix1          5
11/01/2024          2          8       8:44       8:52       null          0
11/01/2024          3         25       8:52       9:17       mix2          7
11/01/2024          5          7       9:17       9:24       mix1          3
12/01/2024          1         14       8:30       8:44       mix1          5
12/01/2024          2          8       8:44       8:52       null          0
12/01/2024          4         25       8:52       9:17       null          0
12/01/2024          5          7       9:17       9:24       mix1          3
13/01/2024          1         14       8:30       8:44       mix1          5
13/01/2024          2          8       8:44       8:52       null          0
13/01/2024          3         25       8:52       9:17       mix2          7
